time_format,pm2_5,pm10,co,o3,humidity,temperature
2023-08-01 00:00:00,0.1764705882352941,10.0,15.5,1.0,66.25,13.3
2023-08-01 01:00:00,0.11764705882352941,7.0,16.0,1.0,68.3,12.9
2023-08-01 02:00:00,0.09803921568627451,6.0,14.5,1.0,69.7,12.9
2023-08-01 03:00:00,0.13725490196078433,8.0,14.0,1.0,70.5,12.649999999999999
2023-08-01 04:00:00,0.18627450980392157,10.5,14.5,1.0,72.4,12.4
2023-08-01 05:00:00,0.22549019607843138,12.5,15.5,1.0,73.2,12.4
2023-08-01 06:00:00,0.5882352941176471,36.0,15.0,1.0,74.3,12.4
2023-08-01 07:00:00,0.45098039215686275,31.0,12.0,1.0,69.8,13.1
2023-08-01 08:00:00,0.39215686274509803,30.0,6.0,1.0,60.1,15.8
2023-08-01 09:00:00,0.11764705882352941,6.0,17.5,1.0,56.099999999999994,17.65
2023-08-01 10:00:00,0.0392156862745098,2.0,18.5,1.0,48.1,20.7
2023-08-01 11:00:00,0.13725490196078433,7.0,14.0,1.0,45.5,21.3
2023-08-01 12:00:00,0.11764705882352942,,,,,
2023-08-01 13:00:00,0.09803921568627451,,,,,
2023-08-01 14:00:00,0.0784313725490196,,,,,
2023-08-01 15:00:00,0.058823529411764705,,,,,
2023-08-01 16:00:00,0.0392156862745098,2.0,19.0,,50.4,17.0
2023-08-01 17:00:00,0.12745098039215685,9.5,12.5,,47.45,17.7
2023-08-01 18:00:00,0.1764705882352941,12.0,17.0,,48.8,15.1
2023-08-01 19:00:00,0.5882352941176471,40.0,12.0,,53.2,14.2
2023-08-01 20:00:00,0.3137254901960784,23.0,12.0,,54.7,14.2
2023-08-01 21:00:00,0.1764705882352941,9.0,24.0,,55.6,14.0
2023-08-01 22:00:00,0.21960784313725487,,,,,
2023-08-01 23:00:00,0.2627450980392157,,,,,
2023-08-02 00:00:00,0.30588235294117644,,,,,
2023-08-02 01:00:00,0.3490196078431373,,,,,
2023-08-02 02:00:00,0.39215686274509803,,,,,
2023-08-02 03:00:00,0.4352941176470588,,,,,
2023-08-02 04:00:00,0.4784313725490196,,,,,
2023-08-02 05:00:00,0.5215686274509804,,,,,
2023-08-02 06:00:00,0.5647058823529412,,,,,
